Latitude,Longitude,Time_Created,Tweet
38.99704152,-84.65041769,7/5/2012 14:48,@saelens12 I bet you $50 my kid will kick your kids ass just like Kentucky kicks Dukes ass
39.63601494,-78.75672722,8/18/2012 6:50,That Kentucky Gentlemen kicked my fucking ass last night.
37.15708631,-88.73042745,8/20/2012 10:29,Kicking this trip's ass (@ Kentucky) http://t.co/dJdFxBiA
39.06529868,-84.45467073,8/30/2012 23:00,I want to visit and help you give Dixon a good ol boy ass kickin from kentucky
38.25582858,-85.74997841,8/29/2012 21:40,Louisville kinda just Kicked Kentucky ass #CardNation #GoBigRed #BooBigBlue @UofLVolleyball
33.6658851,-81.8777207,9/22/2012 20:56,Florida kicked Kentucky's ass!   #gators
39.06523763,-84.45463377,9/3/2012 22:16,@LizardLickTowin you need to let me bring some good old boys from Kentucky to kick that midget Dixons ass.  #licklife
35.95734857,-84.05568648,9/29/2012 20:23,Kentucky kicking some ass. Lets go big blue #BBN
38.1668861,-85.5768536,10/13/2012 22:09,@NotJerryTipton john fucking L still kicking Kentucky ass.
36.1866405,-86.78077513,10/5/2012 12:14,Oct 20th… Kicking ass in Kentucky… http://t.co/PBszNC35 @ToughMudder #BringIt
37.06649416,-88.66205405,11/23/2012 20:32,"Kentucky games are so boring 90% of the time, we kick everyones ass pretty much #Wildcats"
40.00228406,-83.16766476,11/23/2012 9:30,@Annoyinglyhappy just FYI Kentucky U kicks ass. I'm a fan of that school!
39.1532402,-86.49304457,11/29/2012 20:44,"One of the only times I'll say this...go Notre Dame, kick Kentucky's ass!"
38.9864271,-84.6382943,11/29/2012 20:54,#GoIRISH #WeAreND!!!!!!!   Sittin in Kentucky watching #IRISH KICK ass!!!!!!
37.38989317,-86.62488436,11/30/2012 18:01,Western Kentucky Parkway is kicking my ass! #notcool
37.6994533,-85.8626802,12/22/2012 4:42,Let's Get this Game going Now....So Ready Red and Where Bulls....Let's go kentucky wildcats....kick so Marshall ass
41.8169925,-71.42789282,12/29/2012 17:44,Kentucky gettin they ass kicked smh
36.9876378,-86.44185998,12/28/2012 21:51,“@populaceinc: Does Kentucky need a kick-ass makeover? http://t.co/tGRK6MWM via @USATODAY”
33.97629344,-84.13391723,1/2/2013 22:54,Watching the Cards kick ass makes me miss my Kentucky lovers @stoolovesyou @bracemeister123 @Slice154 😚😘
37.57657425,-97.24451042,1/28/2013 18:09,"""Kentucky kicks ass"". Love it! Thanks @npr and @kmuw"
26.157253,-98.19427871,2/10/2013 2:21,gonna go to Kentucky just so i can kick @ZePandaa's ass -__-
38.22878425,-85.69985472,2/5/2013 8:41,"@jessicarlondon @Muddyisms I love, love, love the Kentucky Kicks Ass campaign."
37.8707755,-122.2984834,2/4/2013 21:48,@g1X Time for me to fly to Kentucky and kick some ass!
38.87666593,-77.02320918,2/24/2013 23:45,@PetraccoL Kentucky kicks ass!
37.7704236,-121.5418646,3/14/2013 10:11,Good luck to @tashahusary in Missouri or Kentucky or some random state! Hahahaha kick ass!
35.83152098,-86.48225413,3/19/2013 21:42,That's what Kentucky gets for being ignorant. Don't email the coach and say your gonna kick his ass 2 days before the game.
37.73258321,-84.31806341,3/18/2013 23:49,Melatonin will kick my ass right back into Kentucky time. Eyelids are getting heavy.
36.85735955,-86.45541016,3/24/2013 12:22,Kicked ass in Kentucky. Headed to the ham then PC!!!
38.03034658,-84.50102092,3/6/2013 22:06,rand paul kick ass kentucky america
26.140312,-80.13585066,3/19/2013 11:28,Good Luck and Kick Ass: @WCS15timefor9 @A1Laflare10 @AlexTheGreat22 @RealRyanHarrow Julius Mays! REPRESENT #KentuckyBasketball #WeAreUK #BBN
36.08849535,-86.70212604,3/30/2013 21:51,#RememberWhen We kicked Kentuckys ass by 30 then beat UF? And still didnt get into the tourney? I do.
37.86686357,-87.00303904,4/16/2013 14:06,"I'm at Kick Ass Bridge (Maceo, Kentucky) http://t.co/GvAsofcZhT"
42.81619324,-78.73013137,4/28/2013 17:00,Kentucky Derby and Playoffs! This kicks so much ass!
38.0283955,-84.47196159,5/4/2013 18:08,"If you are from Kentucky and don't stand up for ""My Old Kentucky Home"", you will find out why Kentucky Kicks Ass!"
39.82501439,-86.15660658,5/4/2013 21:25,Well #kentuckyderby you kicked my ass ;) butt I liked it!
38.05526616,-84.46439568,5/13/2013 21:09,Kentucky kicks ass! @KYforKY http://t.co/tamDjLOcXM
36.83285259,-119.9145461,5/18/2013 10:55,@AA_Alba12 thank you! I love you! Have a great summer and kick some ass in Kentucky!
37.7629683,-122.4096003,5/15/2013 13:37,Haha. @AgencySpy ‘Kentucky Kicks Ass’ Co-Conspirator Delves into ‘Beardvertising’ http://t.co/g9vNWfmYjm #marketing
33.80437866,-117.917159,7/24/2013 1:32,Seriously Kentucky? What she gonna do hop on a plane kick my ass then fly back ?
37.5548906,-82.1544848,7/25/2013 1:44,"""@itsakything: Kentucky kicks all other states asses."" I'll pray for whoever made this."
38.0156589,-84.50300323,7/12/2013 21:01,Kentucky kicks ass and so does running. @KYforKY http://t.co/5VdV7RN7ht
38.04802,-84.498353,7/31/2013 22:09,Some Kick Ass Kentuckian action... #KentuckyKicksAss #Bulleit #Bourbon #Ale8One #Lexington @KYforKY @… http://t.co/GdWvR3cUk8
38.22448618,-85.69423677,7/13/2013 16:25,@MollyJoRosen I don't want #mamarosen coming to #Kentucky &amp; kicking my ass because her daughter got hurt.
34.02093,-118.3193147,8/20/2013 1:09,@steveclifford  It was awesome seeing you guys in Covington Kentucky.   I hope to see you guys again asap!   Have a kick ass night man.
40.15126167,-87.63028049,9/27/2013 16:10,"so exited to go with my girls next weekend to Louisville, Kentucky &amp; kick some ass! 👟💚"
38.88356675,-104.7974071,9/28/2013 1:29,"“@RockChalkBlog: Today, Tom Izzo told his players at practice that he wants to ""kick Kentucky's ass."" http://t.co/heqiOFz8Ne”who doesn't?"
38.14848273,-85.80758083,9/28/2013 20:29,How long has Trey Burton been kicking our ass at Kentucky? He's college football's version of Elliot Perry. Graduate already. #BBN #WeAreUK
39.08920604,-84.51155546,9/8/2013 12:15,This Adam Strange commission is kicking my ass right now @cincycomicon @ Northern Kentucky Convention… http://t.co/WY0QJemdfO
39.82481776,-86.32850906,9/30/2013 19:38,"@DustinDopirak Someone should ask why Western Kentucky could kick Navy's ass, but a B1G team couldn't! I'm dumbfounded to say the least!"
36.96748639,-81.16024977,10/3/2013 10:16,Kentucky Bourbon kicked my ass last night.
38.04158965,-84.49132416,10/1/2013 14:00,Tim is a Kick Ass Kentucky Designer and great friend. He hand makes many of the Kentucky for Kentucky… http://t.co/tWgzwkHSjn
38.2637083,-85.60910059,10/26/2013 16:12,Just another Saturday watching the Noles kick ass with @kentuckynoles.   28-0 still over 6:00 to go in 1st. #beatdown #bestincountry
38.24920216,-85.75220693,10/12/2013 19:08,Kentucky Kicks Ass became a state slogan unofficially by popular demand. Much like how Rocky Top… http://t.co/10HUJnxXWi
38.053,-84.5094,10/19/2013 16:59,"Kentucky Kicks Ass Brewfest! And yes, we do! — Drinking a Watermelon Crack by @Apocalypsebrews at @grandreservelex  — http://t.co/hrdL2TaABF"
38.8262,-77.0585,10/18/2013 19:09,I had forgotten a. how good this is and b. what an ass-kicker it is.... (Kentucky Breakfast Stout) http://t.co/IC8R3c8Xgq
38.7116437,-90.29048295,10/31/2013 16:27,@vanfar15 Ugh fuck Kentucky basketball at least we going to kick the football team ass
35.92746967,-84.07748315,11/30/2013 11:34,"Bamas gonna kick auburn ass, fsu is gonna stomp all over Florida, USC and ucla, and hopefully Tennessee can pull yhrough and kick Kentucky!"
38.0283955,-84.47196159,11/1/2013 11:14,@sensiblemadman Kentucky Kicks Ass.
21.80325545,-72.16128091,11/12/2013 21:00,Hahahahha Michiganst kickin Kentucky ass by 50 pts
40.45259198,-86.12983755,11/12/2013 20:07,If michigan st beats or kicks kentuckys ass I'll be one happy camper celebrating it with a beer
41.567975,-87.4724157,11/12/2013 20:11,Hopefully the score in Chicago keeps up. Ain't no better way to put the ugly win behind us then watchin Kentucky get their asses kicked
46.49205537,-84.36359624,11/12/2013 19:36,I hope Kentucky kicks State's ass
37.34326753,-85.35559424,11/12/2013 19:40,"“@Cinderelly06: Now, Kentucky is about to kick some ass.” 'Merica"
40.8162102,-81.51050542,11/12/2013 19:45,Hope Michigan state kicks Kentucky's ass #bigten
41.0866265,-84.41964035,11/8/2013 21:19,Kentucky kick ass
38.78783625,-89.95289633,11/9/2013 17:24,&amp; congrats to my Tigers down in Kentucky kickin some ass today!! #SoProud #MIZ #SEC 👏👊💪
30.59148038,-96.30870962,11/22/2013 13:09,I hope @BrookeKielbasa2 is ready to watch Kentucky get their ass kicked tomorrow! #DAWGNATION
37.3516976,-79.89552391,12/2/2013 9:53,@heartbirchwood  Football (ravens) Baseball (cincy reds) Hockey (Carolina Canes) Rolex Kentucky 3 day event (equestrian sports kick ass)
30.11329011,-94.13200793,12/14/2013 20:35,Kentucky been getting they ass kicked lately
38.8214262,-84.55996677,12/14/2013 17:18,Kinda want Kentucky to get there ass kicked tonight.
38.82271045,-84.5528168,12/14/2013 17:19,Kinda want Kentucky to get their ass kicked tonight.
38.02797572,-84.49063003,12/21/2013 17:33,Kentucky kicks ass bros. #kentuckykicksass (@kyforky) @ the Morris book shop http://t.co/EZQ8YcBut2
35.92500886,-78.07124316,12/16/2013 6:27,Forgot to tweet this over w/end #UNC kicked #Kentucky 's ass this weekend!  Hell yea!!! #goodgame #TarHeelNation @GoHeels @Carolina_News
43.6655839,-79.3830854,12/7/2013 19:56,Made kick Ass burgers and now enjoying a Kentucky Mule. This is a good day.
39.16634,-84.539851,12/31/2013 9:59,"24 ways Kentucky &amp; Kentuckians kicked ass in 2013 by @KYforKY. Frustrating at times, but forever home.  http://t.co/hnRXkmSYqO"
38.0162342,-84.5552299,12/31/2013 10:23,26 WAYS KENTUCKY AND ITS KENTUCKIANS KICKED ASS IN 2013 http://t.co/ap8pCnKVqM
38.425917,-82.3103705,12/31/2013 13:16,24 ways Kentucky Kicked Ass in 2013! Sorry for the listicle but it's KY.  http://t.co/lxUnQturHO
42.61871929,-87.82181938,1/13/2014 22:05,Going to the gym before trainer @kelseypatera kicks my ass all the way from Kentucky.... 👌💪🏃
36.11730781,-97.0697569,1/27/2014 21:29,"Come on Travis Ford, use some of that #KentuckyMagic to pull these boys back together to kick some OU ass! #OSUCowboys"
38.9160025,-92.3362079,2/1/2014 16:56,Don't you wish you were here to see Kentucky kick Missouri's ass today!!! Livin' the high life today! GO BIG BLUE!!!! http://t.co/mqAaKvwBSb
38.23052,-85.70440758,2/13/2014 13:13,Working for a local business kicks ass. Kentucky proud 💪 #louisville #kentucky #urbanattic @ Urban Attic http://t.co/jaJdCM1FKT
39.42477752,-76.77595158,2/15/2014 8:51,Florida bout to kick Kentucky ass
43.0973899,-89.1960535,2/26/2014 20:04,Aye Miss Kentucky! Kick some ass! #survivor #iknowyou #teamjefra
45.0300089,-83.46841453,3/30/2014 16:46,- Kentucky is gonna kick Michigan's ass . Just watch 😜 !
38.3785781,-85.38624349,3/30/2014 19:13,Kentucky is kicking ass!
40.72536659,-80.11919721,3/30/2014 17:44,@LindseyVanHoose nah id rather watchh Kentucky's ass get kicked😊😊😊
42.63467245,-71.3191335,3/30/2014 19:47,Didn't go with the teams I would usually put in my Final Four. Kentucky and UConn. Kicking myself in the ass right now. #shameonme
39.1965577,-84.3852049,3/28/2014 21:30,15 minutes till Kentucky kicks Loservilles Ass
33.6132797,-117.8628627,3/9/2014 16:51,Hmm maybe I don't wanna go back to Kentucky. I kicked your ass home sickness!
40.23528678,-76.08787028,3/13/2014 10:40,@GCGATOR24 @amishqueen04 mary scared me! You need her on your side to kick some Kentucky ass!!
38.18278521,-84.82459405,3/27/2014 2:23,120 kick ass counties @KYforKY #kentuckykicksass http://t.co/7fxensKDbH
38.03986112,-84.50364683,3/27/2014 11:53,"Why I consider Kentucky as part is the south: today I heard a girl saying ""I kicked her ass, but I did it with grace, charm, and poise"" 😳"
41.66692617,-87.62142008,3/25/2014 0:44,@Duck_Duck_Dukes do you want me to get up and get in my car and drive all the way to Kentucky just to kick your ass?! Lmao
38.9725619,-104.8655678,3/23/2014 16:03,That was an amazing dunk in my opinion wichita st is kicking kentuckys ass tbh
34.354324,-89.52643811,3/23/2014 17:52,@CountTo6_SheHit they ran out of time. They were kicking Kentucky ass
41.50330722,-84.59499895,3/21/2014 12:35,I still want to kick Christian Laettner's  ass for hitting that shot against Kentucky.
28.4811185,-81.45776438,3/20/2014 10:58,OH: “mint juleps are nasty!“ I’m about to kick some ass. And she’s from Kentucky!!
38.00424236,-84.42486396,3/17/2014 13:55,That awkward moment when I feel like I could kick every Kentucky frat boy in this airport's ass
37.5309942,-95.8153963,4/5/2014 22:14,Kentucky is gonna come back 2nd half and kick Wisconsin's ass
39.0932783,-94.9859661,4/5/2014 23:33,Connecticut better kick Kentucky's ass.
37.4720565,-82.50899885,4/6/2014 0:14,I'm so proud of my #KentuckyWildcats!!! They are kicking ass and taking names.  Almost time to put #9 with the rest of the 8. #ScratchOnCats
41.5416359,-87.11349975,4/5/2014 23:30,Alright now it's time for UConn to kick Kentucky's ass in the championship
38.92038459,-94.75309882,4/5/2014 23:30,Connecticut gonna kick Kentucky's ass.
29.4509245,-98.4462382,4/5/2014 9:34,Can't wait for the @UWBadgers game. Kick some Kentucky fried ass!! #finalfour
40.19976442,-84.81455305,4/7/2014 20:10,Definitely lookin forward to Kentucky kickin some ass! 😁
40.81687445,-74.20220569,4/7/2014 21:18,Can't wait to see UConn kick kentuckys ass 😏
